regime,equation,term,estimate,std_error,t_stat,p_value
c_joint_cci_HP_wt,mortgage,d_neg_gearing_8587,0.0036353783412778956,0.0025304847367398015,1.4366331827638703,0.15263869832059096
c_joint_cci_HP_wt,mortgage,d_recession_1991,-0.0017228197181557918,0.010058128600487819,-0.17128630847613494,0.8641999889459409
c_joint_cci_HP_wt,mortgage,d_apra_2014,0.005651955939679211,0.005416034117335685,1.0435598848220669,0.29815354493243107
c_joint_cci_HP_wt,mortgage,d_apra_2017,-0.012399858607068487,0.005718743990440673,-2.1682835650268344,0.031510867194168846
c_joint_cci_HP_wt,mortgage,d_jobkeeper_2020,-0.0016759685240228797,0.004962983547548496,-0.33769374973059046,0.7360057640624316
c_joint_cci_HP_wt,hew,(Intercept),0.16527191288694035,0.09702822721534815,1.7033384781949026,0.09029013412291187
c_joint_cci_HP_wt,hew,lincome,-0.028962155933591038,0.009387084185889053,-3.085319718036387,0.002365965484055099
c_joint_cci_HP_wt,hew,ha_y_proxy,0.012796454340730904,0.0017690195464685483,7.2336421416462935,1.4360068689711625e-11
c_joint_cci_HP_wt,hew,real_rate,-2.631671439366617e-4,4.337417171755655e-4,-0.606736990046405,0.544816311890733
c_joint_cci_HP_wt,hew,prime_age_share,0.2063965873892376,0.09888471492449379,2.0872446014213373,0.038323136648839906
c_joint_cci_HP_wt,hew,cci_williams_joint_h,-0.006730255947009585,0.005077990898895963,-1.3253777096120538,0.18678352576767931
c_joint_cci_HP_wt,hew,ecm_lag_W,0.06714662442135957,0.047416697294256883,1.4160966126481438,0.15853483666957868
c_joint_cci_HP_wt,hew,dlog_hp_real,0.185781523842159,0.03464043162565471,5.363141136629753,2.576311812774179e-7
c_joint_cci_HP_wt,hew,d_real_rate,-1.2360805683698956e-4,0.0010993668826704379,-0.11243567437354222,0.9106075776416451
c_joint_cci_HP_wt,hew,d2008_gfc,-0.009167941957661423,0.009092963040503561,-1.0082458178729945,0.31473649530543746
c_joint_cci_HP_wt,hew,d2020_covid,-0.0054411638694954415,0.009190526111332593,-0.5920405212478628,0.5545919543160189
c_joint_cci_HP_wt,hew,d2020_rebound,-0.008608083981933657,0.009207429402790443,-0.9349063245953159,0.35113222464187555
